Field1,Time,Field2
" Andhra Pradesh: Nine killed, 26 injured in West Godavari bus accident ","TNN / Dec 16, 2021, 07:42 (IST)", Nine passengers including five women were killed and 26 others were injured when an APSRTC bus fell from a bridge into Jalleru rivulet near Vegavaram village in Jangareddygudem mandal of West Godavari district on Wednesday. 
 Two medicos among 3 killed in road accident ," Dec 05, 2021, 04:07 (IST)",  
 Hit-and-run: Food delivery boy killed in Ahmedabad ,"TNN / Nov 05, 2021, 04:31 (IST)"," A 23-year-old man, working with a food delivery giant, died in a hit-and-run accident between Tragad toll tax and Tapovan Circle after being run over by an unidentified vehicle on Tuesday. "
" Delhi: Couple killed as dumper crushes car, child saved ","TNN / Dec 10, 2021, 05:38 (IST)"," In a grim tragedy that again underlined how Delhi's roads become death-traps at night, a couple lost their lives when a dumper overturned and crushed their i20 car near Hyatt Regency Hotel on Ring Road around midnight Wednesday. Their six-year-old daughter had a miraculous escape and was rescued by cops and firemen. "
" Telangana: 3 killed, 1 injured in car-truck collision in Dundigal ","TNN / Dec 12, 2021, 10:38 (IST)", Three persons were killed instantly and their friend suffered injuries in a road accident after the car they were travelling in crashed into a parked truck at Dundigal on Sunday. 
" Madhya Pradesh: Bus catches fire after accident, 13-year-old among 3 killed ","TNN / Nov 06, 2021, 05:53 (IST)", Three passengers burned to death when a minibus rammed into a parked container truck and erupted in flames in Barkheda area of Guna early Friday morning. Among those dead is a 13-year-old girl. Four passengers were badly injured. 
 Kundali Bhagya: Sonakshi to get Preeta and Pihu killed in an accident ,"TIMESOFINDIA.COM / Dec 09, 2021, 22:11 (IST)"," Sonakshi frets Pihu’s return realising that she had seen her face. She shares the same with Sherlyn. After thinking for a while, she calls someone and tells the person to take Pihu’s life. "
 30-year-old army man killed in road accident ," Dec 09, 2021, 04:46 (IST)",  
 Four killed in different road accidents in Himachal Pradesh ,"TNN / Dec 01, 2021, 21:51 (IST)"," Four persons were killed in two different road accidents in Himachal Pradesh on Wednesday. While three persons were killed in Sirmaur district after their vehicle rolled into a gorge, one person was killed and his minor son was injured in Kinnaur district after boulder fell on their car. "
 Karnataka: 5 of a family killed in autorickshaw-tipper collision in Mandya ,"TNN / Nov 19, 2021, 22:06 (IST)"," Police said the accident occurred near Nelamakanahalli Gate and identified the deceased as Muttamma, 45, president of Bandura gram panchayat; daughter Basammanni, 30; son Venkatesh, 25; and Basammanni’s children Chamundeshwari, 8, and a two-year-old son. "
