Field1,Time,Field2
" Madhya Pradesh: 7 dead, 15 hurt as truck rams bus in Bhind ","TNN / Oct 02, 2021, 07:12 (IST)", Seven passengers were killed and 15 severely injured after a container truck hit their bus on NH719 in Bhind District of Madhya Pradesh on Friday morning. 
" SUV collides with truck, 6 persons dead in Lucknow ","TNN / May 12, 2021, 04:06 (IST)", Six persons were killed while two others were injured after their SUV collided with a truck in Maharajganj in the wee hours of Tuesday. The victims were heading to Campierganj for a wedding. 
 Karnataka: Road accidents fell for 5th straight year in 2020 ,"TNN / Nov 16, 2021, 03:36 (IST)"," As many as 7,523 people have been killed and 33,864 injured in 28,036 road accidents reported in Karnataka till October 21 this year, shows data with state police. The statistics are in sync with the trend of previous five years, when road accidents and injuries due to them declined. "
 UP: 5 killed in car-truck collision in Jaunpur district ,"TNN / Jul 13, 2021, 14:29 (IST)", At least five people were killed while another person sustained serious injuries when the car they were traveling in collided with a truck in Uttar Pradesh's Jaunpur district on Tuesday morning. 
" Haiti gas truck explosion kills 62, injures dozens ","AFP / Dec 15, 2021, 08:57 (IST)",  
 Himachal Pradesh: 10 killed in Sirmaur road accident ,"TNN / Jun 29, 2021, 07:02 (IST)"," Wedding festivities turned into mourning in Sirmaur district of Himachal Pradesh on Monday evening when 10 persons, part of a marriage procession, were killed and two injured in a road accident. A vehicle carrying ‘barrat’ veered off the road and fell into a gorge at a place called Pashog on Timbi-Bakras link road under sub-division Shillai. "
 Unemployed driver kills friend who he helped land job ,"TNN / Oct 02, 2021, 04:01 (IST)"," A Doon man allegedly killed his friend over a drunken argument by pushing the latter into a river. Anees, the accused, had taught his friend Praveen Bhandari to drive. "
" Four killed, 12 injured in accident in Agra ","TNN / Jun 10, 2021, 19:08 (IST)",  
 UP: 17 killed in bus-tempo collision in Kanpur ,"TNN / Jun 08, 2021, 22:29 (IST)", As many as 17 persons died after a tempo coming from the opposite direction collided with a double-decker bus in Sachendi area of Kanpur Nagar in UP on Tuesday night. A dozen people were also injured. 
" Three of Ghaziabad family, two others die in Yamuna Expressway crash ","TNN / Nov 06, 2021, 04:29 (IST)"," Five persons, including the wife and son of a retired Uttar Pradesh cop, and the driver of an Agra-Noida bus, were killed following a collision between a car and a bus on Yamuna Expressway near milestone 71 in Naujheel area of Mathura on Friday morning. "
" Car, bus collide in overtaking bid on Tank Bund; 3-year-old killed "," Dec 30, 2021, 04:02 (IST)",  
 14% dip in road accident deaths in 2020 compared to 2019: NCRB ," Nov 14, 2021, 03:36 (IST)"," There was a 14% dip in the number of deaths due to road accidents across the country in 2020 compared to 2019, a comparison of data for the two years data from National Crime Record Bureau (NCRB). "
" 4 killed, 14 injured in Muzaffarpur bus accident ","TNN / Jun 26, 2021, 04:31 (IST)", Four persons were killed and at least 14 others injured after a truck rammed into the bus in which they were travelling on NH-28 under Panapur Minapur police outpost in Muzaffarpur district around 4am on Friday. 
 Mohali: 18-year-old had picked up friends just 10 minutes before accident ,"TNN / Mar 25, 2021, 07:29 (IST)"," The 18-year-old youth who was behind the wheel of the Mercedes Benz car which killed three people on Saturday morning had picked up his two friends just 10 minutes before the accident took place on the airport road at the Radha Swami light point, police sourceshave told TOI. "
" Rajasthan: Man, 5-year-old son die as SUV crashes into school van in Tonk ","PTI / Oct 09, 2021, 14:31 (IST)"," A 30-year-old man and his five-year-old child were killed while four other students got injured on Friday, when a speeding SUV collided with the school van in which they were travelling in Nagar Fort area in Tonk district, police said. "
" Man, 60, who took lift, dies in accident ","TNN / Oct 09, 2021, 04:06 (IST)"," A man who took a lift on a two-wheeler was killed in a road accident involving a government bus near Mandela Nagar here on Friday. According to sources, Alagar, 60, a resident of Nallur in Madurai district took a lift on the two-wheeler belonging to Muthukannu of Melakallankulam to travel from Nallur to Mandela Nagar. "
" Three, including two wannabe actors, killed in Hyderabad car crash ","TNN / Dec 19, 2021, 06:45 (IST)"," In yet another incident of suspected drunk driving, three people died and another was seriously injured after their car crashed into a tree near the University of Hyderabad campus, in the wee hours of Saturday. The impact of the collision was such that the vehicle broke into two pieces. "
" Andhra Pradesh: Man strangles sister, attempts to kill wife ","TNN / Dec 13, 2021, 04:06 (IST)", A man killed his sister by strangulating her at Maruti Nagar area in Guntur in the wee hours of Sunday. The deceased was identified as G Sitamahalakshmi (55). 
 Three killed after ambulance hits tree in Kerala's Kannur district ,"ANI / Jun 07, 2021, 12:28 (IST)", Three people were killed including a patient after an ambulance they were travelling in hit a tree in Mundayad in Kannur district on Monday morning. 
" Kolkata: Teenager dies, 2 hurt in bike accident ","TNN / Oct 27, 2021, 04:56 (IST)", A teenager riding a bike without helmet was killed and two others riding pillion were seriously injured in an accident near Park Street-Loudon Street crossing around 3.30am on Tuesday. Police said the youngsters were out on a joyride when they lost control and crashed. 
" Pothole accident: Man falls off two-wheeler, killed by speeding vehicle in Thane ","PTI / Jul 23, 2021, 23:14 (IST)",  
 Speeding tempo kills four morning walkers in Delhi's Najafgarh ,"PTI / Jun 11, 2021, 10:55 (IST)"," Four people, including three members of a family, died on Friday morning after a speeding tempo hit them in southwest Delhi's Najafgarh area, police said. "
" 11-year-old, grandparents killed as truck hits bike ","TNN / Jul 07, 2021, 07:53 (IST)",  
" Under-construction flyover beams collapse in Vizag, two killed ","TNN / Jul 07, 2021, 06:14 (IST)", Two persons were crushed to death and three others received injuries after two concrete beams of an under-construction flyover on Anandapuram-Anakapalle road collapsed near Puppala junction of Anakapalle town in Vizag district on Tuesday evening. 
 Father recounts Iowa amusement ride accident that killed son ,"AP / Jul 07, 2021, 01:17 (IST)",  
 Andhra Pradesh: Three of same family killed in truck accident ,"TNN / Jul 08, 2021, 04:00 (IST)", Three persons belonging to the same family died after the truck they were travelling in lost control and overturned near Kesarapalli-Saverigudem circle under Gannavaram mandal in Krishna district on Wednesday morning. 
" Telangana: Man dies in ‘drunk driving’ case, four others killed in separate road mishaps ","TNN / Jan 02, 2022, 03:50 (IST)"," Though police claimed that the New Year celebrations passed off without any fatal road accidents, five persons died in separate road accidents between Friday evening and Saturday morning. One of these cases was allegedly in connection to drunk driving. "
" Woman, 2-year-old son killed as vehicle crashes into bike ","TNN / Jul 12, 2021, 07:11 (IST)",  
" Uttar Pradesh: Truck overturns on van in Itaunja area, 5 of family killed ","TNN / Jul 17, 2021, 08:47 (IST)"," Five persons of a family, including a three-year-old child, were killed and three others sustained injuries when a truck overladen with mangoes overturned on a van in Itaunja area on Friday. The accident occurred on the Kumhrawan road near Tikri village on the outskirts of Lucknow. "
" Five children, returning from school, killed in Jalore road accident ","TNN / Mar 25, 2021, 04:29 (IST)", Five children died in a fatal road accident when a speeding SUV ran over them at Raniwara in Jalore on Wednesday evening. All of them were walking back home from school. 
 10-year-old boy among five killed in 24 hrs in separate accidents across capital ," Sep 03, 2021, 04:38 (IST)",  
" Seven Killed in accidents in Kolkata, Howrah over two days ","TNN / Jul 05, 2021, 04:18 (IST)", A biker died after being hit by a truck from behind on Vidyasagar Setu near the bifurcation point of Esplanade ramp and Kidderpore ramp around 9.55pm on Saturday. 
" 4 dead, 6 injured as SUV collides with truck in Madhya Pradesh ","PTI / Sep 25, 2021, 13:10 (IST)"," Four persons were killed and six others injured, one of them critically, after their SUV collided with a truck in Rewa district of Madhya Pradesh in the early hours of Saturday, police said. "
 5 of a family Killed in accident ,"TNN / Apr 28, 2021, 04:13 (IST)",  
" Noida: Five hit-and-run cases in city left 4 dead in 6 months, no arrests yet ","TNN / Oct 06, 2021, 07:49 (IST)",  
" HIV positive woman kills daughter, self in Madurai ","TNN / Dec 04, 2021, 18:38 (IST)",  
" Former Miss Kerala Ansi Kabeer, runner-up die in road accident ","TNN / Nov 01, 2021, 10:23 (IST)", Former Miss Kerala and runner-up in the same competition were killed in a road accident at Vyttila-Edappally bypass in Kochi on Monday morning. 
 Mumbai: 39-yr-old killed in hit and run ," Nov 02, 2021, 04:26 (IST)",  
" Three friends killed, 1 hurt as car rams into truck on Bhankrota Road ","TNN / Jun 19, 2021, 04:15 (IST)", Three youths were killed and another wounded after their car rammed into the rear of a trailer truck which dragged the vehicle for 500 metres on Bhankrota Road after midnight on Thursday. 
" Four bystanders killed, 7 injured in collision of trucks in Palghar ","TNN / Mar 23, 2021, 04:58 (IST)"," Four bystanders were killed on the spot and seven men were injured when two trucks collided near a village in Vikramgad, Palghar district, early on Monday. "
 Gujarat: Five killed in car-truck collision in Kheda district ,"PTI / Dec 10, 2021, 18:01 (IST)"," ​​​The incident took place near Porda village in the early hours of the day, when the victims were heading towards Jejra village of Viramgam taluka from Kapadvanj town, an official said. "
" Haryana: For ‘salvation’, man kills wife, 3 kids & ends life in Hisar ","TNN / Dec 22, 2021, 08:18 (IST)"," A 45-year-old man allegedly murdered his wife and three children before killing himself by jumping in front of a vehicle in Nangthala village near Haryana’s Hisar on Monday. Ramesh was apparently seeking “salvation” through his death and that of wife Sunita, 38, their daughters Anushka, 14, Deepika, 12, and 10-yearold son Keshav, according to a notebook found in his home, police said. "
 Plaint says vehicle killed man asleep on footpath ,"TNN / Nov 01, 2021, 04:19 (IST)",  
 4 Firozabad residents killed in a road accident in Rajasthan's Dholpur ,"TNN / Jul 18, 2021, 04:19 (IST)",  
 Family refuses to take body of Nuvem man killed in tree-felling ,"TNN / Jul 08, 2021, 05:04 (IST)"," The kin of Richard Costa, the 25-year-old resident of Nuvem who died on Tuesday after getting crushed under a roadside tree, have refused to take possession of the body, demanding that the police book a case against PWD and the forest department. "
" Rajasthan: 6 killed, 7 injured in two separate road accidents ","PTI / Jul 17, 2021, 19:42 (IST)"," Six people were killed and seven others injured in two separate road accidents in Dholpur and Pratapgarh districts of Rajasthan on Saturday, police said. "
 Telangana: Four farm labourers killed in road accident ,"TNN / Mar 20, 2021, 04:27 (IST)", Four women were killed and 16 others sustained injuries in a road accident on Friday when the auto-rickshaw in which they were travelling collided with a jeep on NH-163 near Neerukulla crossroads of Atmakur mandal. 
 13 workers killed in iron mine accident in China ,"PTI / Jun 17, 2021, 13:47 (IST)",  
 SC upholds hike in payout from 10 lakh to 2 crore for accident victim ,"TNN / Oct 04, 2021, 04:37 (IST)",  
" Auto passenger, leopard die in road accident ","TNN / Oct 13, 2021, 04:32 (IST)",  
 Bengaluru biker found dead near Jalori Pass ," Oct 30, 2021, 04:46 (IST)",  
" Road fatalities in Delhi down by 20%, largely due to lockdowns ","TNN / Oct 30, 2021, 04:56 (IST)"," Deaths due to road accidents saw a decline of around 20% in 2020, according to data released by National Crime Records Bureau (NCRB). Even accidents while crossing railway lines also saw a decline. Experts say that due to the lockdown for most of the year, roads were empty and the few fatal accidents happened mostly due to overspeeding. "
" Uttar Pradesh: One killed, four injured after they jump off running train in Jhansi ","TNN / Jun 24, 2021, 15:37 (IST)"," A man in his mid-30s came under the wheels of Andhra Pradesh superfast express train, while four others — including his two siblings — were injured after they allegedly jumped off the running train in Jhansi on the intervening night of Wednesday and Thursday. "
 2 law students killed in Golf Course Rd crash ,"TNN / Dec 09, 2021, 07:37 (IST)",  
" Pedestrian killed, 5 hurt in Pune as truck ploughs through eight vehicles ","TNN / Jul 11, 2021, 04:35 (IST)"," An elderly pedestrian was killed and five others were injured on Saturday morning after a speeding truck’s driver dozed off and it ploughed through eight vehicles on the service lane of the Katraj-Dehu Road bypass, near Navale bridge. "
 Car ploughs into group of villagers; 2 women killed ," Dec 02, 2021, 03:57 (IST)"," A speeding car ploughed into a group of seven persons eating food by the roadside, killing two women and injuring five others on an unused stretch of NICE Road near Talaghattapura in KS Layout on Wednesday night. "
 Navi Mumbai: Hoarding put up for info on killer driver ," Oct 29, 2021, 04:52 (IST)"," The mishap occurred opposite Garden Hotel on Sion-Panvel highway, leading to the death of Renu Kumari, a senior section engineer of Western Railway. Kumari, a resident of Kamothe, worked in the carriage workshop of Western Railway in Mumbai. "
 Mumbai: ‘Drunk’ bizwoman who hit barricade on Marine Drive injuring cop gets bail ,"TNN / Oct 29, 2021, 04:34 (IST)"," Additional sessions judge U J More granted bail to Zahra Alamgir Thakur, the proprietor of a cake shop in south Mumbai, on personal bond of Rs 50,000 and the conditions that she should not leave the country, present herself at Marine Drive police station three times a week till the filing of chargesheet, and not contact any witnesses or complainant. "
" Mother-son duo killed, relative hurt in road accident on NH-2 in Mathura ","TNN / Apr 22, 2021, 04:48 (IST)", A 46-year-old woman and her 25-year-old son were killed and a relative sustained injury when the motorcycle they were travelling on skidded and rammed into a divider on National Highway-2 in Mathura’s Kosi Kalan area on Wednesday. They were on their way to Delhi from Firozabad. 
 HC upholds relief for kin of accident victim ," Oct 11, 2021, 04:19 (IST)",  
 Andhra Pradesh: Four killed and three injured in a road accident in Kadapa district ,"TNN / Aug 07, 2021, 19:42 (IST)", Four persons were killed and three others sustained injuries in a road accident reported near Brahmamgari matam mandal in Kadapa district in the early hours on Saturday. 
" Madhya Pradesh: Four killed, five injured in road accident in Ratlam ","PTI / Jul 13, 2021, 22:15 (IST)"," Four persons were killed and five others injured when a container truck collided with a pick-up vehicle and a tractor in Madhya Pradesh's Ratlam district, police said on Tuesday. "
 Sankarapuram fire accident: SHRC seeks report from Kallakurichi collector ,"TNN / Oct 28, 2021, 18:23 (IST)",  
 13-year-old Ahmedabad girl kills self ,"TNN / Oct 02, 2021, 04:38 (IST)"," A 13-year-old girl staying with her maternal uncle in the Vejalpur area of city on Thursday committed suicide by hanging herself as she was battling depression for eight years after her father met an accident and went into coma, said a police officer. "
 Four in car killed on Dhule ghat descent in eight-vehicle pile-up ,"TNN / Oct 29, 2021, 04:01 (IST)", Four people from Sule-Pimple village of Kalwan taluka in Nashik district were killed in a road accident in the Bijasani ghat area on the Mumbai-Agra national highway in neighbouring Dhule district on Wednesday night. 
 Kerala: Five-year-old among 4 Killed in accident ,"TNN / May 30, 2021, 04:48 (IST)"," In a tragic accident, an SUV car crashed head on with a truck at Haripad in Alappuzha in the early hours of Sunday, killing four of its occupants. The dead include a 25-year-old woman and her five-year-old son. At least four others have sustained injuries in the accident. "
 Five from Jalna killed in car accident in Ahmednagar ,"TNN / Feb 23, 2021, 05:57 (IST)"," Five men were killed when their car crossed the median and collided head-on with a private bus at Devgad phata in Ahmednagar district on the Pune-Aurangabad highway, about 50km from here, around 2am on Monday. "
" Gujarat: Man, wife, two-year-old son killed in road accident ","PTI / Jul 24, 2021, 18:28 (IST)"," A couple and their two-year-old son were killed on Saturday when their motorcycle was hit by a speeding truck in Gujarat's Amreli district, police said. The incident happened on the outskirts of Rajula town here when the man, his wife and son were on their way to Chotra village, an official said. "
" 2 killed, 4 injured as vehicle collides with wall on highway in Kathua ","PTI / Jul 01, 2021, 17:16 (IST)"," Two people were killed and four seriously injured when their vehicle skidded off the road and collided with the safety wall of a highway in Jammu and Kashmir's Kathua district on Thursday, officials said. "
" Tamil Nadu: Five dead, ten injured in blaze at fireworks godown at Sankarapuram ","TNN / Oct 27, 2021, 07:44 (IST)", Five people were charred to death and more than 10 others suffered severe burns in a fire accident at a fireworks godown at Sankarapuram in Kallakuruchi district on Tuesday night. 
" Five killed, four injured in road accident in Uttar Pradesh's Jhansi ","TNN / May 17, 2021, 12:56 (IST)", Five persons were killed while four others suffered injuries after a car collided with two bikes in Jhansi district in the wee hours of Monday. 
 Andhra Pradesh: Four killed as SUV rams auto in Anantapur ,"TNN / Dec 07, 2021, 07:21 (IST)"," Four persons, including two children, were killed in a road accident near Pulakunta village under Gummagatta mandal in Anantapur district on Monday. This is the second major road accident in the Rayalaseema districts in two days after seven persons lost their lives in a gory road crash near Tirupati in Chittoor district on Sunday. "
" Rajasthan: Woman, minor son Killed in accident; 4 injured ","PTI / Jun 24, 2021, 15:52 (IST)"," A couple was killed when their car collided with a truck in Rajasthan's Churu district, police said on Thursday. "
" Goa: Two hit by running train at Balli, killed ","TNN / Jun 17, 2021, 05:33 (IST)"," Two persons died after being hit by a running train at Balli Wednesday morning. Police identified the victims as Chandan Yadav, 24, a resident of Chhatisgarh, and Sudama Pal, 35, a resident of Bihar. Both worked at the industrial estate Cuncolim. Police said the duo may have been walking along the tracks when they were hit by the Nagercoil-Gandhidham Express. "
" Speeding car runs over family sleeping on footpath, kills one ","TNN / Jun 30, 2021, 06:53 (IST)",  
 Two killed as car falls into well in Madhya Pradesh ,"PTI / Nov 29, 2021, 16:49 (IST)"," The buffaloes also died in the accident that took place on Rajgarh-Khujner road at around 3 am, Rajgarh police station in-charge Mukesh Gaud said. "
 Andhra Pradesh: Three killed in a road accident near Gooty in Anantapur district ,"TNN / Aug 02, 2021, 17:30 (IST)"," According to Gooty police a speeding truck laden with tomato load which came in the wrong direction rammed into a sports utility vehicle in a heads on collision on the national highway no.44 near Gooty in the early hours on Monday, leaving three persons dead on the spot before help could arrive. "
 7 pilgrims killed as car catches fire after crash ,"TNN / Dec 06, 2021, 01:49 (IST)",  
 Army sepoy killed in road accident in J&K ," Jun 07, 2021, 04:13 (IST)"," A 27-year-old man, who was serving the Indian Army as a sepoy, from the district was killed in a road accident in Jammu and Kashmir (J&K) on Friday. His body reached the district on Sunday and was buried with full respect and honour. "
" Truck collides with trailer in Hisar; 2 farmers killed, 2 injured ","TNN / Dec 12, 2021, 07:16 (IST)"," On Friday night, a tractor, which left for Muktsar in Punjab with two trolleys from Tikri border, was hit by a truck from behind in Dhandur village of Hisar, killing two farmers in one trolley and injuring two. The deceased farmers have been identified as Sukhdev Singh and Ajaypreet Singh, both residents of Ashabutar village in Muktsar district of Punjab. The injured include Raghbir Singh and Dara Singh. "
 Agra: Mother-daughter duo among three killed as car crashes into truck in Firozabad ,"TNN / Dec 23, 2021, 04:22 (IST)"," Three people, including a 42-year-old woman and her 22-year-old daughter, were killed when the car they were travelling in rammed into a parked truck on the Agra-Kanpur highway under Sirsaganj police station in Firozabad district about 4 am on Wednesday. "
 Two minor sisters Killed in accident in Uttar Pradesh ,"PTI / Jun 05, 2021, 18:37 (IST)"," Two minor sisters were killed and their brother was seriously injured when they were run over by a speeding tractor on Saturday morning here, police said. "
 HC upholds over Rs 60L relief for family which lost 4 in accident ," Nov 24, 2021, 04:35 (IST)",  
" Woman, son among 3 killed in road accident ","TNN / May 02, 2021, 04:28 (IST)",  
 3 of family among 4 killed in road accident in Budaun ,"TNN / May 23, 2021, 04:43 (IST)"," Four persons, including three of a family, were killed in a road accident in Bisauli area of UP's Budaun district late on Friday. The victims were returning home after meeting relatives when their car collided with a pick-up vehicle on Farrukhabad-Moradabad highway. The bodies have been sent for autopsy. "
" Pune: In seven years, 56 lives lost on Katraj-Dehu Road bypass ","TNN / Oct 24, 2021, 04:57 (IST)"," In the wake of Friday’s deadly crash that involved a tanker, a mini bus and several other vehicles, the Sinhagad Road police, and officials from the National Highways Authority of India (NHAI) on Saturday took a review of the accident-prone spots, especially between Bhumkar Chowk and Navale Bridge on the bypass. "
 Alec Baldwin cancels other projects following 'Rust' accident ,"IANS / Oct 25, 2021, 19:35 (IST)"," Veteran star Alec Baldwin, who accidentally shot and killed cinematographer Halyna Hutchins on the set of the film 'Rust', will ""take some time to re-centre himself"" following the incident, which also left the director Joel Souza injured, says a source. "
 At least 27 miners killed in Peru bus accident: Company ,"AFP / Jun 19, 2021, 00:39 (IST)",  
 Uttar Pradesh: 2 children among three people killed in bike-tractor collision ,"PTI / Jul 05, 2021, 17:35 (IST)"," Three people, including two children, were killed when a bike they were riding on got hit by a tractor in Asmoli area here on Monday, police said. "
 Cop among 3 killed in 2 road accidents in Bijnor ,"TNN / Feb 17, 2021, 04:42 (IST)"," Three people, including a UP police constable, were killed in two separate accidents in Bijnor on Tuesday, police said. "
" Three killed, 13 injured as tractor overturns in Chhattisgarh ","PTI / Jun 09, 2021, 19:01 (IST)"," Three people, including a teenaged girl, were killed and 13 others injured after a tractor-trolley in which they were travelling overturned in Chhattisgarh's Dantewada district, a police official said on Wednesday. "
 5 Killed in accident at railway crossing ," Apr 23, 2021, 07:02 (IST)",  
 Two Army jawans killed in road accident in Uttar Pradesh's Mathura ,"PTI / Jan 31, 2021, 22:55 (IST)"," Two Army soldiers were killed on Sunday morning when the SUV they were travelling in crashed against the divider on Yamuna Expressway near Lakhutia Paar village here, police said. "
" Jaipur: Two children die, four hurt after SUV hits ‘rickshaw’ on NH-8 near Dudu ","TNN / Oct 22, 2021, 04:49 (IST)"," According to assistant sub-inspector, Dudu police, Rajendra Singh, the victims were identified as Taslim (8) and her brother Lucky (11). Their father Yakub and other relatives were injured in the accident and are undergoing treatment. "
 2 killed after motorcycles collide in UP ,"PTI / May 31, 2021, 18:09 (IST)"," The injured, Rajesh Kumar and Krishna Kumar, were rushed to the hospital where their condition was stated to be stable, they said. "
 Bus kills two pedestrians near Shikrapur after steering rod breaks ,"TNN / Jun 28, 2021, 04:43 (IST)",  
 Six labourers Killed in accident in Punjab's Jalandhar ,"PTI / Feb 01, 2021, 15:45 (IST)"," Six labourers were killed and as many injured when their vehicle collided head-on with a truck near village Giddarpindi in Punjab's Jalandhar district on Monday, police said. "
 Mumbai cop’s two sons on bike killed in head-on collision with car ,"TNN / Feb 08, 2021, 04:56 (IST)", Two sons of a Mumbai Police assistant sub-inspector were killed in a road mishap on Vashi’s Palm Beach Road in a head-on collision between their bike and a Mercedes early on Monday. 
" Search underway for missing Indonesians as boat capsizes off Malaysia, killing 11 ","Reuters / Dec 15, 2021, 16:00 (IST)",  
 2 killed in separate road accidents ,"TNN / Apr 04, 2021, 04:08 (IST)",  
" Andhra Pradesh: 9 killed, 26 injured as APSRTC bus plunges into rivulet ","TNN / Dec 15, 2021, 14:08 (IST)", At least nine passengers of an Andhra Pradesh State Road Transport Corporation bus were killed as it fell into a rivulet near Jangareddygudem in West Godavari district on Wednesday. 
" Medicine truck hits fuel tanker in Asansol, 3 killed ","TNN / Jun 14, 2021, 06:00 (IST)",  
 27-yr-old Killed in accident in Uttarkashi ,"TNN / May 10, 2021, 23:08 (IST)"," A local resident was killed after his car fell into a gorge from Yamunotri highway on Saturday night. According to sources, the deceased was 27-year-old Sanjay Chauhan, resident of Matla village. He was returning home when his car skidded off the road in Damta area. "
 Man killed in hit-and-run accident ,"TNN / Apr 12, 2021, 04:22 (IST)",  
" Maharashtra: Four killed, three injured in truck accident in Raigad ","PTI / Apr 01, 2021, 16:25 (IST)"," At least four people were killed and three injured when a truck hit them on a 15-km stretch of Murud-Roha Road in Maharashtra's Raigad district, police said on Thursday. "
" Three killed, one injured in road mishap ","TNN / Oct 20, 2021, 04:41 (IST)",  
 Bihar: Two Kapurthala men killed in high-speed accident on NH in Muzaffarpur ,"TNN / Jul 11, 2021, 16:36 (IST)",  
 Two motorists killed in road accident ,"TNN / Mar 01, 2021, 04:37 (IST)", Two motorists died in a road accident on Sunday evening on the outskirts of Ambala village of Kamalapur mandal. 
 Andhra Pradesh: 50 died in firecracker unit accidents in 5 years ,"TNN / Oct 29, 2021, 08:13 (IST)"," Call it poor maintenance or untrained workers or negligence, the firecrackers manufacturing units both licenses and illegal units have claimed around 50 lives in various parts of the state in the past five years. The owners of the licensed and unlicensed firecrackers units in the state have been hiring untrained men and women by offering low wages. "
 518 trespassers killed on railway tracks despite RPF action ," Dec 01, 2021, 04:59 (IST)",  
" Biker & pedestrian Killed in accident at new Katraj tunnel, pillion rider injured ","TNN / Apr 29, 2021, 04:12 (IST)",  
 Three killed in separate accidents ,"TNN / Mar 15, 2021, 04:05 (IST)",  
" 'Friendly race': One killed, one injured after bikes collided on Yamuna Expressway ","TNN / Jun 28, 2021, 08:09 (IST)"," A 28-year-old youth died, and his 30-year-old friend was injured after their superbikes collided on the Yamuna Expressway in Knowledge Park area of Greater Noida on Sunday morning. Initial investigation revealed that the two were racing, which led to the accident. "
 Punjab: Protesters block national highway near Jalandhar after woman dies in road accident ,"TIMESOFINDIA.COM / Oct 18, 2021, 15:36 (IST)", The national highway near Jalandhar in Punjab was blocked on Monday after a woman was killed in a road accident. 
" UP: One killed as AC bus, driven by conductor, rams into tree in Sultanpur ","TNN / Dec 13, 2021, 09:31 (IST)", A 46-year-old man died while 11 others were injured when a UPSRTC bus rammed into a tree in Sultanpur on Sunday. The accident took place soon after the bus conductor took over the steering wheel after the driver dozed off. 
" 860 people killed in road accidents last year, over-speeding claimed 590 lives ","TNN / Aug 03, 2021, 04:48 (IST)"," As many as 860 people have lost their lives in road accidents in last one year across the state, a data compiled by the Uttarakhand transport department has revealed. The officials attributed over-speeding and rash driving as the main causes of accidents. "
 3 of family killed in road accident ,"TNN / Apr 14, 2021, 04:34 (IST)",  
 Karnataka deputy CM Laxman Savadi denies son's role in Bagalkot car crash that killed farmer ,"TNN / Jul 06, 2021, 14:53 (IST)"," Deputy chief minister Laxman Savadi, reacting to the fatal accident involving a car belonging to his son Chidananda Savadi, said his son was not in the car when the accident happened. "
" Pakistan round-up: Budget for FY22 presented in Parliament, Sindh train accident kills 65, and more ","TIMESOFINDIA.COM / Jun 11, 2021, 20:58 (IST)",  
 Two killed in separate accidents ,"TNN / Mar 12, 2021, 04:24 (IST)",  
 Four die in two road accidents ,"TNN / Sep 16, 2021, 04:21 (IST)",  
" Four killed, four injured as truck rams van ","TNN / Feb 15, 2021, 04:00 (IST)"," Four persons, including three labourers and a driver, were killed while four others were seriously injured when a speeding truck overturned after it hit a pickup van and fell into a roadside ditch in Azamgarh district after Saturday midnight. The accident occurred near Bagahidand bridge in Keshavpur forest area under Jiyanpur police station in Azamgarh. "
" 2 dead, 3 injured after car falls into gorge ","TNN / Oct 17, 2021, 04:00 (IST)",  
 Two killed in road accident ,"TNN / Mar 11, 2021, 10:20 (IST)",  
 2 men killed in bike accident ," Apr 12, 2021, 04:23 (IST)",  
 Banker killed in hit-and-run in Sector 17 ,"TNN / Apr 25, 2021, 04:33 (IST)",  
" Hyderabad: Car which killed 1 in hit-and-run seized, accused absconding ","TNN / Jun 25, 2021, 04:43 (IST)", The south zone police on Thursday seized the high-end car in connection with the hit-and-run case that took place at Hussainialam on Wednesday night. A woman died and four others sustained injuries in the accident. 
 Elderly couple killed after truck crashes into bike ," Nov 22, 2021, 03:34 (IST)"," A 65-year-old man and his 58-year-old wife were killed as a truck rammed their bike near Kattihosahalli village on Doddaballapur-Dobbaspet Road on Saturday. The deceased are Shyama Naik and Sharada Naik, who lived in Doddabelavangala. "
 Nine killed in two accidents on Agra-Lucknow Expressway ,"TNN / Feb 13, 2021, 21:50 (IST)", Nine people were killed and 12 injured in two separate road accidents on Agra-Lucknow Expressway in Kannauj and Etawah districts of UP respectively in the past 24 hours. 
 Mother-son duo among 3 killed in tractor-truck collision in West Bengal's Purba Bardhaman district ,"PTI / Jul 08, 2021, 12:00 (IST)"," At least three people, including a mother-son duo, were killed and 13 others injured when the tractor-trailer they were travelling in collided with a truck in West Bengal's Purba Bardhaman district on Thursday, police said. "
 Six killed as jeep collides with truck in Rajasthan ,"PTI / Feb 13, 2021, 13:09 (IST)", Six people were killed and seven others injured when their jeep collided with a trailer truck in Sriganganagar district of Rajasthan on Saturday. 
 Four killed as car crashes into tree ," Nov 04, 2021, 04:52 (IST)",  
" Chhattisgarh: Car ploughs into Dussehra crowd, 1 dies, 20 injured ","TNN / Oct 16, 2021, 07:53 (IST)"," A ganja-laden vehicle, racing away from a police checkpost, plowed through a Dussehra procession in Chhattisgarh’s Jashpur on Friday, killing one person and injuring over 20, four of them critically. "
" Speeding car hits 2 bikes, 1 killed ","TNN / May 29, 2021, 04:33 (IST)",  
" Four youths killed, 1 injured in car accident in Rewari ","PTI / May 06, 2021, 18:02 (IST)"," Four youths were killed and one was injured when their car was hit by a truck on the Rewari-Narnaul road in Haryana's Rewari district, police said on Thursday. "
 PM Modi announces ex gratia of Rs 2 lakh each for kin of deceased in Nadia's road accident ,"ANI / Nov 28, 2021, 17:00 (IST)",  
